Full Name,Organization,Position (Verbatim),Position (Type),Year (Start),Year (End)
Abigail Fateman,East Contra Costa County Habitat Conservancy,Executive Director,Director,,
Abigail Ramsden,The Nature Conservancy,Staff,Employee,,
Adam Ballard,California Wildlife Conservation Board,Program Manager,Manager,,
Adam Wood,BIA Orange County Chapter,Director of Government Affairs,,,
Adina Merenlender,California Biodiversity Network,,Member,,
Adina Merenlender,University of California Berkeley,,Faculty,,
Adria Arko,San Mateo Resource Conservation District,Agricultural Ombudsman,,,
Adrianna Andreucci,Save the Redwoods League,Conservation Programs Associate,Employee,2017,
Alan Front,Conservation Pathways,CEO,,,
Alessandro Negrete,East Yard Communities for Environmental Justice,Director of External Affairs,,,
Alex Keeble-Toll,California Biodiversity Network,,Member,,
Alex Keeble-Toll,Sierra Fund,Administrative Director,Employee,,
Alexander Lopez,California State Water Resources Control Board,Staff,,,
Alexis Ollar,Mountain Area Preservation,Executive Director,Director,,
Ali Sahabi,Optimum Group LLC,President,,,
Alicia Torregrosa,California Biodiversity Network,,Member,,
Alicia Torregrosa,U.S. Geological Survey,Program Officer,Employee,,
Allan Hollander,Agricultural Sustainability Institute,Analyst,Employee,,2020
Allan Hollander,Food Systems Lab,Analyst,Employee,2020,
Allan Hollander,Information Center for the Environment,Analyst,Employee,,
Allison Jolley,Watershed Research and Training Center,Regional Forest and Fire Capacity Director,,,
Allison Jolley,Fire Adapted Communities Learning Network,Member,,,
Amber Stott,Food Literacy Center,CEO,,,
Amelia Fleitz,Trinity County Resource Conservation District,Project Manager,,,
Amelia Fleitz,Fire Adapted Communities Learning Network,Member,,,
Ami Olson,California Department of Fish and Wildlife,RCIS Coordinator,,,
Amy Bailey,"Caltrans Biology Offices of Biological Studies and Strategic Biological Planning, Advance Mitigation and Innovation",Chief,,,
Amy Cecchettini,California Tahoe Conservancy,Public Land Management Specialist,,,
Amy Hutzel,California State Coastal Conservancy,Executive Officer,Director,,
Andrea Mackenzie,TOGETHER Bay Area,Board Member,,,
Andrew Amacher,California Department of Fish and Wildlife,Staff,,,
Andrew Bowman,Land Trust Alliance,President,,,
Andrew Brooks,California Biodiversity Network,,Member,,
Andrew Brooks,UCSB Marine Science Institute,Director of the Carpinteria Salt Marsh Reserve,Employee,,
Andrew Henderson,The Henderson Law Firm,Attorney,,,
Andrew Thulin,California State Board of Food and Agriculture,Academic Member (California State University),Board Member,,
Andrew Thulin,Cal Poly College of Agriculture Food and Environmental Sciences,Dean,Director,,
Ane Deister,California Council of Land Trusts,Executive Director,,,
Anecita Agustinez,California Department of Water Resources,Tribal Policy Advisor,Employee,,
Anecita Agustinez,California Biodiversity Network,,Member,,
Angela Mooney D-Arcy,Sacred Places Institute for Indigenous Peoples,Executive Director,,,
Anitra Pawley,California Department of Water Resources,North Delta Program Manager,,,
Ann Calnan,Santa Clara Valley Transportation Authority,Manager of Environmental Programs & Resources Management,,,
Ann Huber,Sequoia Riverlands Trust,Stewardship Director,,,
Ann Van Leer,Land Conservation Brokerage,President,,,
Ann Van Leer,Wildlife Corridor Working Group,Member,,,
Anna Halligan,Trout Unlimited,North Coast Coho Project Director,,,
Anne Mayer,Western Riverside County Regional Conservation Authority,Executive Director,,,
Annie Burke,TOGETHER Bay Area,Executive Director,,,
Annie Burke,San Francisco Bay Joint Venture,Board Member,,,
April Zohn,Ducks Unlimited,Senior Environmental Compliance Specialist,,,
Armand Gonzales,California Department of Fish and Wildlife,Staff,,,
Arthur Feinstein,Citizens' Committee to Complete the Refuge,Board Member,,,
Arthur Feinstein,San Francisco Bay Joint Venture,Board Member,,,
Ashley Boren,California State Board of Food and Agriculture,Public Member (Environment),Board Member,,
Ashley Boren,Sustainable Conservation,Executive Director,Director,,
Ashley Nguyen,Metropolitan Transportation Commission,Director of Design & Project Delivery,,,
Barbara Goto,Arroyos and Foothills Conservancy,Director of Operations,,,
Barbara Goto,Wildlife Corridor Working Group,Member,,,
Barbara Salzman,Bay Area Audubon Council,,,,
Barbara Salzman,Marin Audubon Society,President,,,
Barbara Salzman,San Francisco Bay Joint Venture,Board Member,,,
Beatriz Nobua-Behrmann,UC Cooperative Extension in Los Angeles County,Urban Forestry and Natural Resources Advisor,,,
Beatriz Nobua-Behrmann,UC Cooperative Extension Orange County,Urban Forestry and Natural Resources Advisor,,,
Belinda Faustinos,Nature for All,Executive Director,,,
Belinda Faustinos,Wildlife Corridor Working Group,Member,,,
Ben Becker,California Biodiversity Network,,Member,,
Ben Botkin,Metropolitan Transportation Commission,Regional Planning Program,,,
Beth Bray,Northcoast Regional Land Trust,Outreach and Development Director,,2017,
Beth Pratt,National Wildlife Federation,Regional Executive Director,,,
Beth Pratt,Wildlife Corridor Working Group,Member,,,
Bettina Rosmarino,California Biodiversity Network,,Member,,
Bettina Rosmarino,Oswit Land Trust,,Board Member,,
Bill Niman,Niman Ranch,Founder,,,
Billy Freeman,Sierra Foothill Conservancy,Rangeland Program Manager,,,
Blake Young,Sacramento Food Bank and Family Services,CEO,,2005,
Bob Hammond,Rocky Mountain Elk Foundation,Lands Program Manager,,,
Bob Neale,Sonoma Land Trust,Stewardship Director,Employee,,
Bob Neale,California Biodiversity Network,,Member,,
Bob Shaffer,U.S. Fish and Wildlife Service,,,,
Bonnie Eyestone,Point Blue Conservation Science,Rangeland Monitoring Network Coordinator,,,
Bonnie Gore,Placer County,Board of Supervisors,,,
Bonnie Gore,Sacramento Area Council of Governments,Board Member,,,
Brad Burkholder,CDFW Wildlife Branch,Environmental Program Manager,,,
Brad Burkholder,Central Valley Joint Venture,Board Member,,,
Brad McCrea,San Francisco Bay Conservation and Development Commission,Regulatory Director,,,
Brandon Amrhein,California Department of Fish and Wildlife,Senior Environmental Scientist,,,
Brendan Cummings,Center for Biological Diversity,Conservation Director,,,
Brendan Cummings,Wildlife Corridor Working Group,Member,,,
Brian Novosak,Central Valley Joint Venture,Board Member,,,
Brian Novosak,U.S. Bureau of Land Management,Staff,,,
Brian Nowicki,Center for Biological Diversity,California Climate Policy Director,,,
Brian Nowicki,Wildlife Corridor Working Group,Member,,,
Brian Olson,CDFW Wildlife Branch,Program Coordinator,,,
Bronwyn Hogan,U.S. Fish and Wildlife Service,Biologist,,,
Bruce Wolfe,San Francisco Bay Regional Water Quality Control Board,Executive Officer,,,
Bryan Kelly,Merced Irrigation District,Deputy General Manager,,,
Bryan Young,Sacramento Regional County Sanitation District,Natural Resource Supervisor,,,
Bryce Lundberg,California State Board of Food and Agriculture,Agricultural Industry Member,Board Member,,
Bryce Lundberg,Lundberg Family Farms,Owner,Owner,,
Bryce Lundberg,Northern California Water Association,Chair,Board Member,,
Bryce Lundberg,Western Canal Water District,Board Member,Board Member,,
Bud Darwin,Sequoia Riverlands Trust,Education and Volunteer Director,,,
Caitlin Sweeney,San Francisco Estuary Partnership,Director,,2011,
Caitlin Sweeney,San Francisco Bay Joint Venture,Board Member,,,
Caitlin Sweeney,San Francisco Bay Conservation and Development Commission,Chief Deputy Director,,1999,2011
Caleb Barron,Fogline Farm,Owner,,,
Caleb Conn,USACE San Francisco District,Project Manager,,,
Camas Davis,Good Meat Project,Executive Director,,,
Cameron Yee,Central Coast Alliance United for a Sustainable Economy,Operations and Research Director,,,
Candice Meneghin,California Trout,Southern California Program Manager,,,
Candice Meneghin,Friends of the Santa Clara River,Board Member,,,
Candice Meneghin,Wildlife Corridor Working Group,Member,,,
Cara Lacey,The Nature Conservancy,Staff,,,
Cara Lacey,Wildlife Corridor Working Group,Member,,,
Carlos Rodriguez,BIA Baldy View Chapter,Chief Executive Officer,,,
Carrie Balkcom,American Grassfed Association,Executive Director,,,
Carrie Monohan,California Biodiversity Network,,Member,,
Carrie Monohan,Sierra Fund,Program Director,Employee,2007,
Carrie Monohan,CSU Chico Department of Geological and Environmental Sciences,Adjunct Professor,Faculty,2011,
Carrie Schloss,The Nature Conservancy,Spatial Data Scientist,,,
Carrie Wendt,California Biodiversity Network,,Member,,
Carrie Wendt,Point Blue Conservation Science,Wildlife Biologist,Employee,,
Caryl Hart,Sonoma County Agricultural Preservation and Open Space District,Interim General Manager,,,
Caryl Hart,Wildlife Corridor Working Group,Member,,,
Casey Arndt,National Audubon Society,Center Director,,,
Casey Arndt,San Francisco Bay Joint Venture,Board Member,,,
Cat Darst,U.S. Fish and Wildlife Service,Assistant Field Supervisor,,,
Catherine Baxter,California Department of Conservation,Conservation Policy Specialist,,,
Catherine Elliott,Save the Redwoods League,Senior Manager of Land Protection,,,
Catherine Hickey,Point Blue Conservation Science,Conservation Director,,,
Catherine Hickey,U.S. Shorebird Conservation Partnership,Council Member,,,
Catherine Hickey,Central Valley Joint Venture,Board Member,,,
Catherine Woody,California State Water Resources Control Board,Environmental Scientist,,,
Cesar Covarrubias,Kennedy Commission,Executive Director,,,
Chadd Santerre,California Waterfowl Association,Wetland Programs Supervisor,,,
Charlotte Biggs,California Department of Water Resources,Program Manager,,,
Chris Alford,Yolo Habitat Conservancy,Deputy Director,,,
Chris Barr,U.S. Fish and Wildlife Service,Refuge Manager,,,
Chris Barr,San Francisco Bay Joint Venture,Board Member,,,
Chris Barton,East Bay Regional Park District,Environmental Programs Manager,Manager,,
Chris Beale,Resources Law Group,Attorney,,,
Chris Branscum,City of Marysville,City Council Member,,,
Chris Branscum,Sacramento Area Council of Governments,Board Member,,,
Chris Kerston,Savory Institute,Chief Commercial Officer of Land to Market,,,
Chris Lee,California Oak Mortailty Task Force,Chair,,,
Chris Lee,California Department of Forestry and Fire Protection,Forest Health Specialist,,,
Chris McDonald,UC Cooperative Extension in San Bernardino County,"Inland and Desert Natural Resources Advisor, County Co-Director San Bernardino",,,
Chris Robbins,Natural Resources Conservation Service,District Conservationist,,,
Chrissy Howell,USFS Pacific Southwest Region,Program Manager,,,
Christopher Caputo,Caltrans District 4,Staff,,,
