Unnamed: 0,Origin,Origin County,Destination,Destination County,Dummy,Weight,Value,Travel Distance,Haversine Distance
0,4013,Maricopa County,4013,Maricopa County,,2224521796.9851027,1470592223.7396152,0.0,0.0
1,6037,Los Angeles County,4013,Maricopa County,,78290240.15044527,58938682.35413839,592900.7,540402.4939083217
2,6013,Contra Costa County,4013,Maricopa County,,8028846.105214362,12048922.361442422,1139458.2,991976.67316251
3,6073,San Diego County,4013,Maricopa County,,7556115.422100285,17329789.636127394,508553.5,396435.305946581
4,6031,Kings County,4013,Maricopa County,,11754209.843217578,19857574.06836922,883979.1,734646.0503585305
5,6077,San Joaquin County,4013,Maricopa County,,11800646.035031406,17709278.02422495,1107080.4,942480.2180203472
6,48201,Harris County,4013,Maricopa County,,0.0,0.0,1901865.9,1662971.9437505975
7,6065,Riverside County,4013,Maricopa County,,152949935.9347491,115144207.92197204,358168.8,327535.68650497164
8,6099,Stanislaus County,4013,Maricopa County,,4238550.618817339,7160611.727913279,1061401.6,900992.5639161004
9,6019,Fresno County,4013,Maricopa County,,804972.3739556951,806250.0079275712,914515.3,753501.5479250501
10,6029,Kern County,4013,Maricopa County,,11003601.59569992,18589495.73131185,725076.9,614025.6034695467
11,12117,Seminole County,4013,Maricopa County,,0.0,0.0,3452248.8,3010621.103918208
12,6107,Tulare County,4013,Maricopa County,,8855443.120187027,14960394.617151763,856546.8,658520.2622821947
13,6059,Orange County,4013,Maricopa County,,46313944.549466126,34866196.10723775,539628.1,490018.6579934013
14,6071,San Bernardino County,4013,Maricopa County,,62831679.33296069,47301124.41686501,486990.1,377870.6246283663
15,32003,Clark County,4013,Maricopa County,,30326340.563465685,38929760.17898143,455692.3,393219.0271330541
16,12009,Brevard County,4013,Maricopa County,,2330060.035336263,2912131.311609532,3522124.9,3072089.444998175
17,6111,Ventura County,4013,Maricopa County,,29834192.19431431,22459861.83787438,685743.6,620625.9743493238
18,6047,Merced County,4013,Maricopa County,,8173227.896790262,13807859.524630228,1017923.0,859945.4140999457
19,48029,Bexar County,4013,Maricopa County,,0.0,0.0,1583016.7,1393776.888478373
20,48113,Dallas County,4013,Maricopa County,,4547282.78554966,12637591.30154146,1723026.9,1464454.9194815245
21,48439,Tarrant County,4013,Maricopa County,,2912947.5448352084,8095524.798114396,1675885.1,1416728.0986110624
22,17031,Cook County,4013,Maricopa County,,896487.1875421619,4012652.532990643,2911349.3,2359246.733257379
23,6053,Monterey County,4013,Maricopa County,,6541834.483002153,11051781.831526935,995701.9,859802.892289336
24,17043,DuPage County,4013,Maricopa County,,275257.906228544,1232046.9829377483,2908175.4,2338158.955597534
